"PRODUCT -   Medium technology manufactures: automotive (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Selected exporters of petroleum",33632.05,37100.456,28737.733,3560.245,2723.449,9690.523999999999,3273.855,7799.36,15403.952,10942.515,5568.658,13581.596,49357.843,49971.723,21055.602,15629.093,30399.286,28947.124,91376.747,153204.176,202830.545,214584.723,234489.339
"Selected exporters of manufactured goods",1517398.003,1340263.785,1430817.114,1130405.073,706768.219,873387.978,1060172.548,1663167.539,3275374.286,3903319.562,5040510.976,4898790.941,4821541.337,4819060.799,5388585.487,7450933.66,8945022.559,8193825.712,10455428.861,11718895.743,9869207.450999999,8506564.277000001,6289387.474
"Selected exporters of manufactured goods and primary commodities",296092.589,258041.108,94451.099,120157.757,185250.181,362803.847,471501.974,620165.361,1886448.731,2700874.944,3829425.321,3911109.792,3704343.009,3362817.608,3978633.33,6362863.958,8166623.418,7481393.412,9546188.713,10721025.448,9006358.074999999,7623564.238,5482051.188
"Selected exporters of agricultural products",2.818,35.471,22.564,55.028,189.556,488.141,677.959,1767.417,3123.916,6056.699,2406.587,3754.507,2488.827,3875.868,1043.007,209.759,387.088,382.303,3744.32,13805.389,59341.771,11802.151,5501.084
"Selected exporters of minerals and mining products",245.81,245.769,139.814,74.59099999999999,288.072,82.324,152.767,212.28,110.538,359.523,992.737,2529.915,13743.008,23738.422,31362.336,7686.757,3722.725,4890.223,9990.637000000001,7008.565,2770.385,19294.848,15042.122
"Net food-importing economies",3041892.607,2618977.412,2966548.541,2408231.255,1741772.957,2593927.724,3448715.38,5963441.48,10870680.326,11229391.526,11799996.257,14782832.799,19022717.14,23268215.579,25774693.276,44247331.576,54748172.786,54209517.735,57740460.251,66516785.885,48432442.776,50538142.812,53866299.476
"  Net food-importing developing economies",1505512.649,1324103.968,1419347.397,1121206.45,663844.885,844574.035,1020812.491,1565032.171,3163398.75,3781679.605,4895986.407,4770406.285,4724395.496,4711064.495,5223865.047,7238141.092,8764684.365,8000527.64,10531913.515,11997506.857,10161932.75,8174124.64,6212740.762
"  Net food-importing transition economies",33486.238,37042.832,28663.068,3491.52,2586.207,9511.763000000001,3123.639,6696.304,14673.377,6454.869,2918.358,3690.286,11738.739,23702.391,13963.847,8563.647000000001,10255.883,3324.785,3186.84,11734.066,78732.81200000001,177958.794,163651.349
"  Net food-importing developed economies",1502893.72,1257830.612,1518538.076,1283533.285,1075341.865,1739841.926,2424779.25,4391713.005,7692608.199,7441257.052,6901091.492,10008736.228,14286582.905,18533448.693,20536864.382,37000626.837,45973232.538,46205665.31,47205359.896,54507544.962,38191777.214,42186059.378,47489907.365
"Major net food-importing economies",2990513.802,2590799.906,2953758.467,2391323.691,1719752.282,2569938.106,3431732.719,5927427.608,10817675.811,11184895.19,11733909.773,14626542.019,18687347.094,22787589.613,25134750.01,43107861.189,52789582.805,52635130.814,55626114.166,64906954.672,47444397.8,49323653.649,52571470.616
"Net food-exporting economies",643035.263,480886.348,655952.155,329712.741,512328.468,666635.371,752889.932,1132880.532,1877211.224,1828358.114,2066760.553,2865184.289,3452129.186,3050838.269,3249193.566,6482506.406,10484961.743,10790903.045,14825080.935,17808932.971,14624218.64,16186659.892,19147563.732
"  Net food-exporting developing economies",81167.37300000001,97209.606,28675.452,18327.127,20706.093,33268.875,159123.162,178330.662,346323.667,316196.179,281673.741,299620.942,278630.571,239713.383,245406.355,399839.576,562709.221,700971.529,785089.888,716556.5330000001,907556.208,1309817.858,1138857.383
"  Net food-exporting transition economies",3146.373,5737.279000000001,6948.899,6760.267,30172.623,13447.08,6396.1,30445.7,9026.209999999999,9522.82,16619.3,13489.163,44870.287,30362.068,49014.227,28269.7,25770.772,29668.862,11267.415,564.905,2590.116,5820.855,2713.974
"  Net food-exporting developed economies",558721.517,377939.463,620327.804,304625.347,461449.752,619919.416,587370.67,924104.17,1521861.347,1502639.115,1768467.512,2552074.184,3128628.328,2780762.818,2954772.984,6054397.13,9896481.75,10060262.654,14028723.632,17091811.533,13714072.316,14871021.179,18005992.375
"Major net food-exporting economies",627286.871,465866.311,648535.896,322552.186,481762.356,635688.781,726407.621,1092526.012,1869022.735,1819747.672,2049645.748,2850885.046,3404962.765,3016019.674,3182515.298,6429039.178,10433032.99,10724636.717,14771117.898,17765830.897,14588487.779,16128352.168,19078581.807
"BASIC",69563.397,85195.60400000001,20832.543,13830.551,6065.117,12978.558,123894.314,100090,225121.838,150956.931,78884.609,78163.51,68469.224,53840.084,46904.835,70798.28200000001,158916.098,259511.492,308348.325,156377.461,103414.613,96650.63800000001,103760.255
"BRICS",101636.397,121567.481,49263.957,17180.776,8492.924999999999,22476.235,126979.78,105982.791,237372.985,157068.15,81485.44100000001,81061.769,72382.008,76706.72500000001,58632.163,78470.857,163293.028,262279.679,310281.78,166387.75,180612.042,259611.796,242547.672
"Industrialized economies (UNIDO)",3586310.451,2986260.053,3586849.356,2711241.936,2204784.26,3190577.354,3990140.916,6825919.254,12340494.208,12721914.568,13513928.091,17118632.784,21899163.356,25841630.386,28460494.625,49667245.009,63721842.719,63239653.179,70019255.933,81232059.30500001,60669114.65,64088640.992,70417636.765
"EIEs (Emerging Industrial Economies) (UNIDO)",97174.27499999999,111854.902,33809.902,23337.924,47061.375,64638.107,207648.171,258471.411,383911.932,291400.44,288722.017,486856.375,517171.399,421627.962,481209.911,946525.415,1368249.188,1600633.157,2283011.708,2753392.242,2153554.598,2323926.024,2253664.634
"Emerging markets",1669020.581,1493680.81,1486737.991,1162766.072,752273.803,931740.727,1239866.421,1848175.177,3563083.191,4111601.485,5179594.078,5168420.557,5097522.254,5074932.634,5594854.788,7811009.654,9471176.402000001,8913686.914999999,11642881.071,13189019.214,11771074.01,10564896.103,8684859.493000001
"  Emerging markets: Africa",484.06,345.707,340.412,332.284,320.272,144.994,1002.413,636.74,30007.287,27063.068,14920.712,13928.971,11278.845,5018.386,12599.488,11169.612,27921.057,128629.204,142924.339,26404.686,7973.457,4903.028,8035.689
