"PRODUCT -   Medium technology manufactures: process (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Selected exporters of manufactured goods",13696817.74,13954679.37,15145199.693,13647201.147,14008370.562,17245403.026,16469657.881,18762086.259,23916961.489,31186857.127,36219817.254,40663231.29,45785422.093,46159693.988,43921923.104,57251371.418,65056667.919,61529607.138,62409401.161,59352627.004,52180472.226,49069185.168,53747234.911
"Selected exporters of manufactured goods and primary commodities",3233071.996,3580908.49,4179111.277,3818125.956,4360863.275,6140726.886,6301916.151,7548785.726,11017685.136,15568200.625,19101711.711,22198858.104,26212297.049,26941341.469,28157567.304,34738830.098,40281649.725,37457472.856,37152929.584,34619263.282,30607609.664,29231003.786,32358729.237
"Selected exporters of agricultural products",39750.422,22283.362,49426.082,44218.517,36459.407,44780.239,64075.336,78059.86,75316.325,48936.27,79741.152,95777.681,83056.322,76951.04300000001,106693.001,147537.618,141214.079,131346.605,125760.058,173300.433,177055.311,157717.146,199093.945
"Selected exporters of minerals and mining products",14738.811,8453.938,10480.562,8718.499,7516.613,10426.579,11095.8,11076.592,33856.628,15421.584,30343.734,15908.797,19465.655,70002.842,59648.856,111591.987,89128.563,77846.575,80405.863,55010.327,48601.154,21286.716,32246.252
"Net food-importing economies",19046871.155,19041857.564,19859439.166,17708305.107,18904879.94,23538142.767,23539430.292,26490349.605,32854069.868,43389219.924,51663984,58598570.881,66669677.475,70440429.609,66775232.028,88014837.81900001,102195922.439,97782329.41,93668239.948,91461217.604,81518614.935,79239402.727,89257591.075
"  Net food-importing developing economies",13701268.954,13660742.769,14613930.71,13085917.289,13521313.932,17118749.817,16910731.646,18734937.717,23513314.201,31048872.754,37192901.282,41054429.269,46853324.145,48238842.641,46030449.694,62492431.023,73719995.83,71151318.799,68703982.288,66501491.87,59271252.61,56329194.398,62524043.968
"  Net food-importing transition economies",1436264.768,1668504.879,1261401.786,738388.634,1014562.324,1075199.692,972415.7610000001,1012019.212,1046035.023,1499094.466,1822035.175,2211442.33,2285321.466,2686134.602,2177512.871,2286248.592,2843648.27,3442983.727,2253798.207,2055548.548,1807606.998,1887378.506,2416697.197
"  Net food-importing developed economies",3909337.433,3712609.916,3984106.67,3883999.184,4369003.684,5344193.258,5656282.885,6743392.676,8294720.644,10841252.704,12649047.543,15332699.282,17531031.864,19515452.366,18567269.463,23236158.204,25632278.339,23188026.884,22710459.453,22904177.186,20439755.327,21022829.823,24316849.91
"Major net food-importing economies",18895088.231,18822356.51,19755332.621,17661511.966,18828598.044,23452473.08,23367369.112,26343553.601,32612849.813,42990914.269,51208510.035,58140403.049,66113797.532,69777395.831,65787870.883,86846550.065,100508903.584,95712356.17900001,92387811.251,90076108.367,80133594.074,77714408.462,87142277.37000001
"Net food-exporting economies",3761361.618,3365089.187,3942693.826,3865962.481,4180552.822,4290738.1,4762047.258,5893115.41,8087561.131,10682170.422,12480865.923,14839598.512,18778963.364,19479587.916,20819486.1,24960730.862,29774872.167,27692597.172,30010004.954,30520608.441,27638468.791,27139880.396,31628944.871
