"PRODUCT -   High technology manufactures: other (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Major net food-importing economies",2891052.54,3159296.18,3412256.378,3964681.5,4029781.337,5608608.597,6482356.018,7794924.765,12692594.933,20288842.275,24794747.546,28968042.277,37162954.438,44450202.914,42684939.594,59145374.291,64838892.59,68667078.252,67893629.824,67648630.419,61876502.313,59784459.449,66441479.574
"Net food-exporting economies",2261319.896,3058947.777,4390469.928,5850307.303,4298844.148,3270891.472,4636529.413,5534954.061,5743444.257,4823605.784,5263469.471,14030936.394,15933831.863,15631513.621,8567549.846000001,12374746.879,15729358.256,17933090.569,18003500.126,20262456.383,21433487.526,21321374.321,25130222.073
"  Net food-exporting developing economies",40955.077,83556.77499999999,85787.087,87896.595,60481.059,129895.703,202177.127,137430.731,218400.253,270633.779,409016.902,572659.263,584261.464,870017.586,860719.927,1471120.434,1721540.838,2141854.892,1603536.302,2030150.6,2919259.569,4388148.11,4581336.745
"  Net food-exporting transition economies",1751.149,2606.021,4813.491,7301.188,4785.861,4089.87,4376.419,8673.040999999999,3838.51,5231.706,2457.898,4487.2,13478.341,5042.482,5358.925,10581.741,50105.102,9847.368,14765.914,18854.159,17616.096,22961.049,16862.079
"  Net food-exporting developed economies",2218613.67,2972784.981,4299869.35,5755109.52,4233577.228,3136905.899,4429975.867,5388850.289,5521205.494,4547740.299,4851994.671,13453789.931,15336092.058,14756453.553,7701470.994,10893044.704,13957712.316,15781388.309,16385197.91,18213451.624,18496611.861,16910265.162,20532023.249
"Major net food-exporting economies",2250023.292,3051003.291,4387157.994,5848666.095,4297145.281,3268592.731,4629571.695,5527698.56,5737219.116,4817350.306,5252406.765,14011549.683,15885847.288,15573976.554,8533690.419,12221371.122,15642954.221,17869925.123,17932169.678,20179814.104,21353429.249,21218052.325,25025866.161
"BASIC",12220.708,22547.281,27180.052,28308.785,28614.539,67716.333,126653.866,59833.281,66617.61900000001,88566.681,95587.766,95038.08,167332.065,372481.682,468433.937,540358.29,831203.948,1094771.25,766766.027,691309.007,348700.181,511937.655,677528.8490000001
"BRICS",70394.708,88518.34,69709.167,171034.417,163806.755,153451.203,282660.122,284817.846,335337.395,244406.971,225548.015,173821.148,285587.925,436097.239,633954.622,609447.314,885396.145,1135772.242,987090.3149999999,1107848.959,843433.527,769512.463,1035069
"Industrialized economies (UNIDO)",5116619.531,6167638.318,7748050.961,9758793.037000001,8270740.564,8785380.412000001,10948945.078,13253205.368,18317775.693,24987574.422,29875731.227,42776028.916,52733129.253,59442060.019,50581145.912,70536407.788,79304743.523,84913872.234,84604056.18099999,86327809.69499999,80856757.53,77252987.90099999,87691366.465
"EIEs (Emerging Industrial Economies) (UNIDO)",37386.547,55471.813,60038.62,60010.782,51249.157,97436.864,173695.662,117030.667,140015.671,171874.382,244875.27,361885.95,388194.401,814968.901,1264330.026,1868226.006,2562247.475,3031962.035,2713565.843,2759416.692,3010620.3,3165948.985,3464371.131
