"PRODUCT -   Medium technology manufactures: automotive (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"High-income economies (World Bank)",1257154.07,1380326.379,1690001.127,1732957.547,2245232.234,2970544.489,3087419.868,4017967.175,5239243.836,7214093.131,9251613.379000001,11696629.874,15342562.672,18743012.215,14794522.26,19473157.795,23107748.996,25081504.573,27186309.887,29761721.942,31088697.333,31479922.491,35688219.362
"High-income OECD members (World Bank)",744672.319,859034.2120000001,1081031.153,1253787.777,1726973.64,2336133.913,2558423.955,3469791.916,4617041.997,6428059.637,8256803.582,10428603.975,13507592.69,16107307.229,12943188.559,17358495.239,20394574.247,22049538.16,23637543.294,25318715.427,26657616.475,27933411.106,31552972.932
"High-income non OECD members (World Bank)",512481.751,521292.167,608969.9740000001,479169.77,518258.594,634410.576,528995.9129999999,548175.259,622201.839,786033.494,994809.797,1268025.899,1834969.982,2635704.986,1851333.701,2114662.556,2713174.749,3031966.413,3548766.593,4443006.515,4431080.858,3546511.385,4135246.43
"HIPCs (Heavily indebted poor countries) (IMF)",46946.132,37066.313,45709.063,40974.831,47738.278,45766.837,56555.325,48130.149,100276.952,207969.577,250673.675,359356.129,501967.516,840357.877,775273.301,1036185.063,1390849.374,1715045.821,1866462.384,2045714.528,2158655.669,2191614.065,2227654.584
"LIFDC (Low-income food-deficit countries) (FAO)",120731.796,97338.59299999999,128050.666,119447.389,114308.12,167638.473,215310.328,225477.451,453076.274,624942.622,1089044.098,1384331.091,2230774.141,3001579.203,2443528.361,3686122.816,4133040.801,4715302.915,5047521.161,5529031.653,5554715.994,4907613.91,5311355.843
"Selected LIFDC (Low-income food-deficit countries)",58140.089,48690.167,53383.317,46731.929,50381.316,58601.771,75811.992,75234.135,129472.046,271520.633,460983.027,713707.1899999999,892749.796,1289575.785,1069884.279,1577916.629,1955041.064,2156822.977,2146515.306,2470869.017,2748543.112,2828885.861,3044120.446
"Selected exporters of petroleum",58083.453,48605.369,57584.5,95505.985,132985.83,315241.322,293334.639,347012.889,600816.99,646761.87,1323414.172,2414229.438,5023670.645,6100682.832,3865921.454,5196058.144,7567225.279,9880256.502,9592384.5,9810239.006999999,7322111.064,5242885.417,6435353.887
"Selected exporters of manufactured goods",525591.416,552826.242,654403.713,480806.866,597472.092,1138490.012,1059295.988,890116.884,980579.819,1367721.187,2045939.518,2808129.995,3874250.924,5336918.603,3931688.674,5840570.143,7288273.228,8090714.553,9224219.68,10258569.644,11258479.076,10896041.082,12784168.025
"Selected exporters of manufactured goods and primary commodities",99911.029,130928.784,182243.918,172669.423,262487.438,767943.652,777536.085,599636.375,697477.698,1131480.078,1845672.072,2623613.309,3785648.578,5504578.653,3709504.307,5737114.549,7865466.334,7984310.611,9224008.923,9354198.397,10144263.565,9676077.897,12268742.282
"Selected exporters of agricultural products",48266.34,36501.335,57314.857,68357.523,74725.693,94307.802,112176.288,47805.826,62767.783,156818.815,343203.454,645363.545,925221.397,1376322.97,882707.7340000001,1314585.709,1764481.363,2114350.854,2316593.202,2145976.464,2402468.287,2089220.725,2582858.564
"Selected exporters of minerals and mining products",24105.518,13433.745,16210.32,20530.634,18832.252,33698.926,35374.96,49180.96,84900.568,128289.625,176349.313,294434.297,464455.378,911475.992,717719.822,1179324.505,1809285.373,2014327.424,2425978.19,1897626.911,1756677.404,1689756.132,1982729.96
"Net food-importing economies",919317.453,973808.394,1145633.921,1046524.311,1277860.141,1929545.048,1964636.22,2400750.337,3327469.843,4367522.219,6377092.687,8926991.398,13770106.782,17695196.23,12977611.956,16926867.209,21583260.109,24846517.709,25882086.292,27962781.936,25902094.03,23985621.381,27381863.276
"  Net food-importing developing economies",691316.195,681616.309,811994.656,687993.394,782864.855,1166439.006,1070171.758,1240444.478,1716627.806,2202139.625,3367478.028,4754763.031,7062147.631,9551160.09,7687781.547,9780036.559,12051978.622,14098132.063,15048380.86,17100889.53,16686732.733,14306850.893,16218486.555
