"PRODUCT -   Medium technology manufactures: process (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Low-income developing economies",130049.931,107519.776,134602.334,144087.492,144533.317,201506.876,265545.048,257083.715,335262.545,467567.312,623127.931,738672.355,903496.068,1225635.751,1190435.041,1387733.533,1935391.007,2230024.467,2537237.762,3156130.814,3293194.959,3229505.572,3384675.87
"Low-income economies (World Bank)",118870.022,98448.073,123644.103,122209.883,115977.826,162750.732,216557.178,188065.066,238987.067,327471.345,435039.752,520162.995,652882.531,976540.076,945390.574,1120863.04,1569116.3,1732882.164,2098287.537,2624680.125,2771812.774,2521596.006,2677792.813
"Lower-middle-income economies (World Bank)",843837.798,876014.99,1380608.233,1154676.096,1209219.064,1492187.165,1357920.665,1801321.179,2663212.561,4330116.763,6326131.393,8628515.931,11681935.868,14740899.866,11586956.373,15842226.748,22976014.874,24241620.066,25566858.627,30869780.941,32717756.621,29797086.912,33867485.674
"Upper-middle-income economies (World Bank)",1150694.082,981005.4790000001,1078330.171,963515.3810000001,1050670.891,2151078.979,2076493.859,2502404.241,3111782.727,5550771.435,8090052.093,10305530.247,14871961.826,19632165.801,14794413.956,19250518.302,25649662.285,27406116.626,28513668.362,32706794.169,31005141.202,26524438.357,31180792.96
"High-income economies (World Bank)",8079979.887,6823413.949,7749766.995,6577413.657,6834422.308,9649001.153000001,8355245.905,9629637.414000001,12998025.827,19602413.342,25140345.13,31044586.827,40613719.712,49797853.949,32064232.037,41404373.572,54612106.486,53421750.519,53746830.721,59914786.319,57010059.279,53763767.169,61522440.624
"High-income OECD members (World Bank)",4817553.048,4084330.469,4853614.764,4119826.013,4318138.49,6337647.054,5582151.908,6517717.716,8996364.335999999,13450226.134,18116476.554,22302325.125,29626014.013,37034816.364,23011309.922,29603861.31,39394619.5,38294616.901,38097551.614,42546622.491,40963708.004,39259776.774,45461707.1
"High-income non OECD members (World Bank)",3262426.839,2739083.48,2896152.231,2457587.644,2516283.818,3311354.099,2773093.997,3111919.698,4001661.491,6152187.208,7023868.576,8742261.702,10987705.699,12763037.585,9052922.115,11800512.262,15217486.986,15127133.618,15649279.107,17368163.828,16046351.275,14503990.395,16060733.524
"HIPCs (Heavily indebted poor countries) (IMF)",53751.33,61557.577,57883.959,89708.21000000001,84939.924,126723.05,182049.452,136136.171,195396.271,316630.412,410812.158,537417.722,722385.7120000001,1182423.586,1068867.259,1300383.09,1828012.617,2058767.249,2493729.66,2946251.67,3148093.594,2827094.935,3066929.646
"LIFDC (Low-income food-deficit countries) (FAO)",431273.171,467175.726,866276.26,830072.03,729490.983,783217.424,834427.503,976699.8760000001,1432701.901,1987388.648,3090675.212,4410183.868,5992813.246,7849403.064,6753163.833,9469697.047,13587983.345,13212977.874,14003831.439,17381528.002,18302421.612,15455905.415,17698424.575
"Selected LIFDC (Low-income food-deficit countries)",297313.95,343601.998,391753.47,414130.086,518267.77,565091.612,556078.279,674182.02,993111.611,1404593.768,2240625.414,3364724.777,4862215.961,6062119.504,4397164.365,7420541.641,10550495.422,9638462.038000001,9437615.297,12691351.933,14338326.704,11646814.702,12872299.78
